Company,Ticker,Sector,Index,fr_id,match_method,fr_id,match_method
Brunner Investment Trust,BUT,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Bytes Technology Group,BYIT,Software & Computer Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Caledonia Investments,CLDN,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Capital Gearing Trust,CGT,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Carnival Corporation & plc,CCL,Travel & Leisure,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Ceres Power,CWR,Alternative Energy,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Chemring Group,CHG,Aerospace & Defence,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Chesnara,CSN,Life Insurance,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
City of London Investment Trust,CTY,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Clarkson,CKN,Industrial Transportation,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Close Brothers Group,CBG,Financial Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
CMC Markets,CMCX,Financial Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Coats Group,COA,Consumer Staples,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Computacenter,CCC,Software & Computer Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Costain Group,COST,Engineering and Construction,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Cranswick,CWK,Food Producers,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Currys,CURY,Retailers,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Derwent London,DLN,Real Estate Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
discoverIE,DSCV,Support Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Domino's Pizza,DOM,Travel & Leisure,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Drax Group,DRX,Electricity,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Dr. Martens,DOCS,Retailers,FTSE 250,5055,api_name,5055,api_name
Dunelm Group,DNLM,Retailers,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Edinburgh Investment Trust,EDIN,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Edinburgh Worldwide Investment Trust,EWI,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Elementis,ELM,Chemicals,FTSE 250,4640,api_name,4640,api_name
Energean,ENOG,Oil & Gas Producers,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
European Smaller Companies Trust,ESCT,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Fidelity China Special Situations,FCSS,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Fidelity European Trust,FEV,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Fidelity Special Values,FSV,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Finsbury Growth & Income Trust,FGT,Equity Investments,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
FirstGroup,FGP,Travel & Leisure,FTSE 250,5289,api_name,5289,api_name
Frasers Group,FRAS,Retailers,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Funding Circle,FCH,Financial Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Future,FUTR,Media,FTSE 250,4787,api_name,4787,api_name
Galliford Try,GFRD,Construction,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Gamma Communications,GAMA,Telecommunications,FTSE 250,7659,api_name,7659,api_name
GB Group,GBG,Software and Computer Services,FTSE 250,7662,api_name,7662,api_name
Genuit Group,GEN,Construction & Materials,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Genus,GNS,Pharmaceuticals & Biotechnology,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Global Smaller Companies Trust,GSCT,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Goodwin,GDWN,General Industrials,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Grainger,GRI,Real Estate Investment & Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Great Portland Estates,GPE,Real Estate Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Greencoat UK Wind,UKW,Gas Water & Multiutilities,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Greggs,GRG,Food & Drug Retailers,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Hammerson,HMSO,Real Estate Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Harbour Energy,HBR,Oil & Gas Producers,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Harworth Group,HWG,Real Estate,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Hays,HAS,Support Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Helios Towers,HTWS,Telecomms,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Henderson Smaller Companies Investment Trust,HSL,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Herald Investment Trust,HRI,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Hg Capital Trust,HGT,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
HICL Infrastructure Company,HICL,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Hill & Smith,HILS,Industrial Engineering,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Hilton Food Group,HFG,Food Producers,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Hochschild Mining,HOC,Basic Resources,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Hollywood Bowl Group,BOWL,Travel and Leisure,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Hunting,HTG,Oil Gas and Coal,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Ibstock,IBST,Construction & Materials,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
ICG Enterprise Trust,ICGT,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
IG Group Holdings,IGG,Financial Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Impax Environmental Markets,IEM,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Inchcape,INCH,Retailers,FTSE 250,4630,api_name,4630,api_name
IntegraFin Holdings,IHP,Financial Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
International Personal Finance,IPF,Financial Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
IP Group,IPO,Financial Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Ithaca Energy,ITH,Oil & Gas Producers,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
ITV,ITV,Media,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Johnson Matthey,JMAT,Chemicals,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Johnson Service Group,JSG,Industrial Support Services,FTSE 250,7731,api_name,7731,api_name
JPMorgan American Investment Trust,JAM,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
JPMorgan Emerging Markets Dividend Income,JEMI,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
JPMorgan Emerging Markets Growth & Income,JMG,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
JPMorgan European Discovery,JEDT,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
JPMorgan European Growth & Income,JEGI,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
JPMorgan Global Growth & Income,JGGI,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
JPMorgan Japanese Investment Trust,JFJ,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Jupiter Fund Management,JUP,Financial Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Just Group,JUST,Life Insurance,FTSE 250,5324,api_name,5324,api_name
Kainos,KNOS,Software & Computer Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Keller Group,KLR,Construction & Materials,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Kier Group,KIE,Construction & Materials,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Lion Finance Group,BGEO,Banking Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Marshalls,MSLH,Construction & Materials,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
ME Group International,MEGP,Leisure Goods,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Mercantile Investment Trust,MRC,Collective Investments,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Metro Bank,MTRO,Banks,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Mitchells & Butlers,MAB,Travel & Leisure,FTSE 250,4826,api_name,4826,api_name
Mitie,MTO,Support Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Molten Ventures,GROW,Financial Services,FTSE 250,4951,api_name,4951,api_name
Monks Investment Trust,MNKS,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
MONY Group,MONY,Media,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Moonpig,MOON,Retailers,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Morgan Advanced Materials,MGAM,Electronic & Electrical Equipment,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Morgan Sindall Group,MGNS,Construction & Materials,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Murray Income Trust,MUT,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Murray International Trust,MYI,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
NCC Group,NCC,Software and Computer Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Ninety One,N91,Financial Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
North Atlantic Smaller Companies Investment Trust,NAS,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Ocado Group,OCDO,Food & Drug Retailers,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
OSB Group,OSB,Banks,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Oxford Biomedica,OXB,Pharmaceuticals and Biotechnology,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Oxford Instruments,OXIG,Electronic & Electrical Equipment,FTSE 250,4677,api_name,4677,api_name
Oxford Nanopore Technologies,ONT,Health Care,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Pacific Horizon Investment Trust,PHI,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
PageGroup,PAGE,Support Services,FTSE 250,5296,api_name,5296,api_name
Pan African Resources,PAF,Precious Metals and Mining,FTSE 250,48786,api_name,48786,api_name
Pantheon Infrastructure,PINT,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Pantheon International,PIN,Equity Investments,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Paragon Banking Group,PAG,Financial Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Pennon Group,PNN,Gas Water & Multiutilities,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Personal Assets Trust,PNL,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Pets at Home,PETS,Retailers,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Pinewood Technologies,PINE,Software & Computer Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Polar Capital Global Healthcare Trust,PCGH,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Pollen Street Group,POLN,Financial Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Premier Foods,PFD,Food & Drug Retailers,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Primary Health Properties,PHP,Real Estate Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Qinetiq,QQ,Aerospace & Defence,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Quilter,QLT,Financial Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Rank Group,RNK,Travel and Leisure,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Raspberry Pi Holdings,RPI,Technology,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Rathbones,RAT,Financial Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Renishaw,RSW,Electronic & Electrical Equipment,FTSE 250,5268,api_name,5268,api_name
RIT Capital Partners,RCP,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Rotork,ROR,Industrial Engineering,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
RS Group,RS1,Industrials,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Safestore,SAFE,Real Estate Investment Trusts,FTSE 250,5310,api_name,5310,api_name
Saga,SAGA,Financial Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Savills,SVS,Real Estate Investment & Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Schroder Asian Total Return Investment Company,ATR,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Schroder Oriental Income Fund,SOI,Financial Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Scottish American Investment Company,SAIN,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
SDCL Energy Efficiency Income Trust,SEIT,Energy,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
