Company,Ticker,Sector,Index
JPMorgan Global Growth & Income,JGGI,Investment Trusts,FTSE 250
JPMorgan India Growth & Income,JII,Investment Trusts,FTSE 250
JPMorgan Japanese Investment Trust,JFJ,Investment Trusts,FTSE 250
JTC,JTC,Financial Services,FTSE 250
Jupiter Fund Management,JUP,Financial Services,FTSE 250
Just Group,JUST,Life Insurance,FTSE 250
Kainos,KNOS,Software & Computer Services,FTSE 250
Keller Group,KLR,Construction & Materials,FTSE 250
Kier Group,KIE,Construction & Materials,FTSE 250
Lancashire Holdings,LRE,Non-Life Insurance,FTSE 250
Law Debenture,LWDB,Investment Trusts,FTSE 250
Lion Finance Group,BGEO,Banking Services,FTSE 250
Man Group,EMG,Investment Trusts,FTSE 250
Marshalls,MSLH,Construction & Materials,FTSE 250
ME Group International,MEGP,Leisure Goods,FTSE 250
Mercantile Investment Trust,MRC,Collective Investments,FTSE 250
Merchants Trust,MRCH,Investment Trusts,FTSE 250
Metro Bank,MTRO,Banks,FTSE 250
Mitchells & Butlers,MAB,Travel & Leisure,FTSE 250
Mitie,MTO,Support Services,FTSE 250
Molten Ventures,GROW,Financial Services,FTSE 250
Monks Investment Trust,MNKS,Investment Trusts,FTSE 250
MONY Group,MONY,Media,FTSE 250
Moonpig,MOON,Retailers,FTSE 250
Morgan Advanced Materials,MGAM,Electronic & Electrical Equipment,FTSE 250
Morgan Sindall Group,MGNS,Construction & Materials,FTSE 250
Murray Income Trust,MUT,Investment Trusts,FTSE 250
Murray International Trust,MYI,Investment Trusts,FTSE 250
NB Private Equity Partners,NBPE,Collective Investments,FTSE 250
NCC Group,NCC,Software and Computer Services,FTSE 250
Ninety One,N91,Financial Services,FTSE 250
North Atlantic Smaller Companies Investment Trust,NAS,Investment Trusts,FTSE 250
Oakley Capital Investments,OCI,Investment Trusts,FTSE 250
Ocado Group,OCDO,Food & Drug Retailers,FTSE 250
OSB Group,OSB,Banks,FTSE 250
Oxford Biomedica,OXB,Pharmaceuticals and Biotechnology,FTSE 250
Oxford Instruments,OXIG,Electronic & Electrical Equipment,FTSE 250
Oxford Nanopore Technologies,ONT,Health Care,FTSE 250
Pacific Horizon Investment Trust,PHI,Investment Trusts,FTSE 250
PageGroup,PAGE,Support Services,FTSE 250
Pan African Resources,PAF,Precious Metals and Mining,FTSE 250
Pantheon Infrastructure,PINT,Investment Trusts,FTSE 250
Pantheon International,PIN,Equity Investments,FTSE 250
Paragon Banking Group,PAG,Financial Services,FTSE 250
Partners Group Private Equity,PEY,Investment Trusts,FTSE 250
Patria Private Equity Trust,PPET,Financial Services,FTSE 250
Pennon Group,PNN,Gas Water & Multiutilities,FTSE 250
Personal Assets Trust,PNL,Investment Trusts,FTSE 250
Pets at Home,PETS,Retailers,FTSE 250
Pinewood Technologies,PINE,Software & Computer Services,FTSE 250
Playtech,PTEC,Software & Computer Services,FTSE 250
Plus500,PLUS,Financial Services,FTSE 250
Polar Capital Global Healthcare Trust,PCGH,Investment Trusts,FTSE 250
Pollen Street Group,POLN,Financial Services,FTSE 250
PPHE Hotel Group,PPH,Travel and Leisure,FTSE 250
Premier Foods,PFD,Food & Drug Retailers,FTSE 250
Primary Health Properties,PHP,Real Estate Investment Trusts,FTSE 250
Princes Group,PRN,Food and Drink,FTSE 250
Qinetiq,QQ,Aerospace & Defence,FTSE 250
Quilter,QLT,Financial Services,FTSE 250
Rank Group,RNK,Travel and Leisure,FTSE 250
Raspberry Pi Holdings,RPI,Technology,FTSE 250
Rathbones,RAT,Financial Services,FTSE 250
Renishaw,RSW,Electronic & Electrical Equipment,FTSE 250
RHI Magnesita,RHIM,Support Services,FTSE 250
RIT Capital Partners,RCP,Investment Trusts,FTSE 250
Rotork,ROR,Industrial Engineering,FTSE 250
RS Group,RS1,Industrials,FTSE 250
RTW Biotech Opportunities,RTW,Investment Trusts,FTSE 250
Ruffer Investment Company,RICA,Investment Trusts,FTSE 250
Safestore,SAFE,Real Estate Investment Trusts,FTSE 250
Saga,SAGA,Financial Services,FTSE 250
Savills,SVS,Real Estate Investment & Services,FTSE 250
Schroder Asian Total Return Investment Company,ATR,Investment Trusts,FTSE 250
Schroder AsiaPacific Fund,SDP,Investment Trusts,FTSE 250
Schroder Oriental Income Fund,SOI,Financial Services,FTSE 250
Scottish American Investment Company,SAIN,Investment Trusts,FTSE 250
SDCL Energy Efficiency Income Trust,SEIT,Energy,FTSE 250
Senior,SNR,Aerospace & Defence,FTSE 250
Sequoia Economic Infrastructure Income Fund,SEQI,Financial Services,FTSE 250
Serco,SRP,Support Services,FTSE 250
Shaftesbury Capital,SHC,Real Estate Investment Trusts,FTSE 250
Shawbrook Bank,SHAW,Banking,FTSE 250
Sirius Real Estate,SRE,Real Estate,FTSE 250
Softcat,SCT,Software & Computer Services,FTSE 250
Spire Healthcare,SPI,Health Care Equipment & Services,FTSE 250
SSP Group,SSPG,Retailers,FTSE 250
Supermarket Income REIT,SUPR,Real Estate Investment Trusts,FTSE 250
