Company,Ticker,Sector,Index,fr_id,fr_name,fr_ticker
Baillie Gifford US Growth Trust,USA,Investment Trusts,FTSE 250,4996,BAILLIE GIFFORD US GROWTH TRUST PLC,
Balfour Beatty,BBY,Construction & Materials,FTSE 250,4595,Balfour Beatty PLC,
Baltic Classifieds,BCG,Consumer Digital Services,FTSE 250,5221,Baltic Classifieds Group PLC,
Bankers Investment Trust,BNKR,Investment Trusts,FTSE 250,5132,The Bankers Investment Trust PLC,
AJ Bell,AJB,Financial Services,FTSE 250,5014,AJ Bell PLC,
Bellway,BWY,Home Construction,FTSE 250,5265,Bellway PLC,
Big Yellow Group,BYG,Real Estate Investment Trusts,FTSE 250,4821,Big Yellow Group PLC,
Biopharma Credit,BPCR,Investment Trusts,FTSE 250,4973,BIOPHARMA CREDIT PLC,
BlackRock Greater Europe Investment Trust,BRGE,Investment Trusts,FTSE 250,5360,Blackrock Greater Europe Investment Trust PLC,
BlackRock World Mining Trust,BRWM,Investment Trusts,FTSE 250,5281,Blackrock World Mining Trust PLC,
Bodycote,BOY,Industrial Engineering,FTSE 250,4652,Bodycote PLC,
Breedon Group,BREE,Construction & Materials,FTSE 250,6180,Breedon Group Plc,
Bridgepoint Group,BPT,Financial Services,FTSE 250,5352,Bridgepoint Group PLC,
Brunner Investment Trust,BUT,Investment Trusts,FTSE 250,5135,BRUNNER INV TST PLC,
Bytes Technology Group,BYIT,Software & Computer Services,FTSE 250,5048,Bytes Technology Group PLC,
Caledonia Investments,CLDN,Investment Trusts,FTSE 250,4633,Caledonia Investments PLC,
Capital Gearing Trust,CGT,Investment Trusts,FTSE 250,4657,Capital Gearing Trust PLC,
Ceres Power,CWR,Alternative Energy,FTSE 250,6312,Ceres Power Holdings PLC,
Chemring Group,CHG,Aerospace & Defence,FTSE 250,5264,Chemring Group PLC,
Chesnara,CSN,Life Insurance,FTSE 250,5301,CHESNARA PLC,
City of London Investment Trust,CTY,Investment Trusts,FTSE 250,4624,City of London Investment Trust PLC,
Clarkson,CKN,Industrial Transportation,FTSE 250,4689,Clarkson PLC,
Close Brothers Group,CBG,Financial Services,FTSE 250,5137,Close Brothers Group PLC,
CMC Markets,CMCX,Financial Services,FTSE 250,4944,CMC Markets PLC,
Coats Group,COA,Consumer Staples,FTSE 250,4606,Coats Group PLC,
Computacenter,CCC,Software & Computer Services,FTSE 250,5293,Computacenter PLC,
Costain Group,COST,Engineering and Construction,FTSE 250,4669,COSTAIN GROUP PLC,
Cranswick,CWK,Food Producers,FTSE 250,4718,Cranswick PLC,
Currys,CURY,Retailers,FTSE 250,4904,Currys PLC,
Derwent London,DLN,Real Estate Investment Trusts,FTSE 250,4680,Derwent London PLC,
discoverIE,DSCV,Support Services,FTSE 250,4726,Discoverie Group PLC,
Domino's Pizza,DOM,Travel & Leisure,FTSE 250,5314,Domino's Pizza Group PLC,
Drax Group,DRX,Electricity,FTSE 250,4844,Drax Group PLC,
Dr. Martens,DOCS,Retailers,FTSE 250,5055,Dr. Martens PLC,
Dunelm Group,DNLM,Retailers,FTSE 250,4857,Dunelm Group PLC,
Edinburgh Investment Trust,EDIN,Investment Trusts,FTSE 250,5143,Edinburgh Investment Trust PLC,
Edinburgh Worldwide Investment Trust,EWI,Investment Trusts,FTSE 250,5230,Edinburgh Worldwide Investment Trust PLC,
Elementis,ELM,Chemicals,FTSE 250,4640,Elementis PLC,
Energean,ENOG,Oil & Gas Producers,FTSE 250,5342,Energean PLC,
European Smaller Companies Trust,ESCT,Investment Trusts,FTSE 250,5207,European Smaller Companies Trust PLC,
Fidelity China Special Situations,FCSS,Investment Trusts,FTSE 250,5147,Fidelity China Special Situations PLC,
Fidelity European Trust,FEV,Investment Trusts,FTSE 250,4711,Fidelity European Trust PLC,
Fidelity Special Values,FSV,Investment Trusts,FTSE 250,4736,Fidelity Special Values PLC,
Finsbury Growth & Income Trust,FGT,Equity Investments,FTSE 250,4617,Finsbury Growth & Income Trust PLC,
FirstGroup,FGP,Travel & Leisure,FTSE 250,5289,FirstGroup PLC,
Foresight Group,FSG,Investment Banking and Brokerage Services,FTSE 250,4772,FORESIGHT ENTERPRISE VCT PLC,
Frasers Group,FRAS,Retailers,FTSE 250,4862,Frasers Group PLC,
Funding Circle,FCH,Financial Services,FTSE 250,5009,FUNDING CIRCLE HOLDINGS PLC,
Future,FUTR,Media,FTSE 250,4787,Future PLC,
Galliford Try,GFRD,Construction,FTSE 250,5154,Galliford Try Holdings PLC,
Gamma Communications,GAMA,Telecommunications,FTSE 250,7659,GAMMA COMMUNICATIONS PLC,
GB Group,GBG,Software and Computer Services,FTSE 250,7662,GB GROUP PLC,
Genuit Group,GEN,Construction & Materials,FTSE 250,4912,Genuit Group PLC,
Genus,GNS,Pharmaceuticals & Biotechnology,FTSE 250,4873,Genus PLC,
Global Smaller Companies Trust,GSCT,Investment Trusts,FTSE 250,5208,The Global Smaller Companies Trust PLC,
Goodwin,GDWN,General Industrials,FTSE 250,4629,GOODWIN PLC,
Grainger,GRI,Real Estate Investment & Services,FTSE 250,4678,Grainger PLC,
Great Portland Estates,GPE,Real Estate Investment Trusts,FTSE 250,4631,Great Portland Estates PLC,
Greencoat UK Wind,UKW,Gas Water & Multiutilities,FTSE 250,5320,Greencoat UK Wind PLC,
Greggs,GRG,Food & Drug Retailers,FTSE 250,4679,Greggs PLC,
Hammerson,HMSO,Real Estate Investment Trusts,FTSE 250,5245,Hammerson PLC,
Harbour Energy,HBR,Oil & Gas Producers,FTSE 250,4658,Harbour Energy PLC,
Harworth Group,HWG,Real Estate,FTSE 250,4737,HARWORTH GROUP PLC,
Hays,HAS,Support Services,FTSE 250,5277,Hays PLC,
Helios Towers,HTWS,Telecomms,FTSE 250,5030,Helios Towers PLC,
Henderson Smaller Companies Investment Trust,HSL,Investment Trusts,FTSE 250,5159,Henderson Smaller Companies Investment Trust PLC,
Herald Investment Trust,HRI,Investment Trusts,FTSE 250,5160,Herald Investment Trust PLC,
Hg Capital Trust,HGT,Investment Trusts,FTSE 250,4707,HgCapital Trust PLC,
Hill & Smith,HILS,Industrial Engineering,FTSE 250,4647,Hill & Smith PLC,
Hilton Food Group,HFG,Food Producers,FTSE 250,4867,Hilton Food Group PLC,
Hochschild Mining,HOC,Basic Resources,FTSE 250,4858,HOCHSCHILD MINING PLC,
Hollywood Bowl Group,BOWL,Travel and Leisure,FTSE 250,4955,HOLLYWOOD BOWL GROUP PLC,
Hunting,HTG,Oil Gas and Coal,FTSE 250,4684,HUNTING PLC,
Ibstock,IBST,Construction & Materials,FTSE 250,5330,Ibstock PLC,
ICG Enterprise Trust,ICGT,Investment Trusts,FTSE 250,4671,ICG Enterprise Trust PLC,
IG Group Holdings,IGG,Financial Services,FTSE 250,4837,IG Group Holdings PLC,
Impax Environmental Markets,IEM,Investment Trusts,FTSE 250,4817,Impax Environmental Markets PLC,
Inchcape,INCH,Retailers,FTSE 250,4630,Inchcape PLC,
IntegraFin Holdings,IHP,Financial Services,FTSE 250,4994,IntegraFin Holdings PLC,
International Personal Finance,IPF,Financial Services,FTSE 250,4870,INTERNATIONAL PERSONAL FINANCE PLC,
IP Group,IPO,Financial Services,FTSE 250,4852,IP Group PLC,
Ithaca Energy,ITH,Oil & Gas Producers,FTSE 250,5355,Ithaca Energy PLC,
ITV,ITV,Media,FTSE 250,5300,ITV PLC,
Johnson Matthey,JMAT,Chemicals,FTSE 250,4899,Johnson Matthey PLC,
Johnson Service Group,JSG,Industrial Support Services,FTSE 250,7731,JOHNSON SERVICE GROUP PLC,
JPMorgan American Investment Trust,JAM,Investment Trusts,FTSE 250,5167,JPMorgan American Investment Trust PLC,
JPMorgan European Growth & Income,JEGI,Investment Trusts,FTSE 250,5171,JPMORGAN EUROPEAN GROWTH & INCOME,
JPMorgan Global Growth & Income,JGGI,Investment Trusts,FTSE 250,5173,JPMorgan Global Growth & Income PLC,
JPMorgan Japanese Investment Trust,JFJ,Investment Trusts,FTSE 250,5176,JPMorgan Japanese Investment Trust PLC,
