id,lei,name,ticker,country_code,market_segment,stock_indices,listed_exchanges,date_ipo,is_listed
5293,549300XSXUZ1I19DB105,Computacenter PLC,CCC,GB,FTSE 350,FTSE 250,London Stock Exchange,1998-05-29,True
4959,213800LS272L4FIDOH92,Convatec Group PLC,CTEC,GB,FTSE 350,FTSE 100|STOXX Europe 600,London Stock Exchange,2016-10-26,True
4718,549300LDZLPU51XOSK43,Cranswick PLC,CWK,GB,FTSE 350,FTSE 250|STOXX Europe 600,London Stock Exchange,1993-07-13,True
5319,213800ROIFXRRRKVQD25,Crest Nicholson Holdings PLC,CRST,GB,FTSE 350,FTSE 250,London Stock Exchange,2013-02-18,True
4641,2138004WCNBFJEEOXV26,Croda International PLC,CRDA,GB,FTSE 350,FTSE 100|STOXX Europe 600,London Stock Exchange,1964-06-10,True
4904,2138001E12GWLLDQQF16,Currys PLC,CURY,GB,FTSE 350,FTSE 250,London Stock Exchange,2013-06-26,True
5064,213800PC5S5P9CSNFC89,Darktrace PLC,DARK,GB,FTSE 350,FTSE 250,London Stock Exchange,2021-04-30,True
4797,213800J4UVB5OWG8VX82,Dechra Pharmaceuticals PLC,DPH,GB,FTSE 350,FTSE 250,London Stock Exchange,2000-09-21,True
4680,213800BXKQ9KZNUR1M61,Derwent London PLC,DLN,GB,FTSE 350,FTSE 250|STOXX Europe 600,London Stock Exchange,1984-08-13,True
5249,213800ZVIELEA55JMJ32,Diageo PLC,DGE,GB,FTSE 350,FTSE 100|STOXX Europe 600,London Stock Exchange,1952-04-01,True
5254,2138008OGI7VYG8FGR19,Diploma PLC,DPLM,GB,FTSE 350,FTSE 250|STOXX Europe 600,London Stock Exchange,1960-06-12,True
4900,213800FF2R23ALJQOP04,Direct Line Insurance Group PLC,DLG,GB,FTSE 350,FTSE 250|STOXX Europe 600,London Stock Exchange,2012-10-16,True
4726,213800BMDLQU1VEEAN68,Discoverie Group PLC,DSCV,GB,FTSE 350,FTSE 250,London Stock Exchange,1994-03-28,True
4966,213800YR9TFRVHPGOS67,Diversified Energy Company PLC,DEC,GB,FTSE 350,FTSE 250,London Stock Exchange,2017-02-03,True
5314,213800Q6ZKHAOV48JL75,Domino's Pizza Group PLC,DOM,GB,FTSE 350,FTSE 250,London Stock Exchange,2008-05-19,True
6265,213800XM8WOFLY6VPC92,Dowlais Group PLC,DWL,GB,FTSE 350,FTSE 250,London Stock Exchange,2023-04-20,True
4844,549300YPSNTXR4ZHSR98,Drax Group PLC,DRX,GB,FTSE 350,FTSE 250|STOXX Europe 600,London Stock Exchange,2005-12-15,True
5055,213800QPT8YM6NQZPH28,Dr. Martens PLC,DOCMF,GB,FTSE 350,FTSE 250,London Stock Exchange,2021-01-29,True
4857,213800WCOWEI3T5DUV19,Dunelm Group PLC,DNLM,GB,FTSE 350,FTSE 250,London Stock Exchange,2006-10-24,True
5295,2138001S47XKWIB7TH90,Easyjet PLC,EZJ,GB,FTSE 350,FTSE 250|STOXX Europe 600,London Stock Exchange,2000-11-22,True
5143,549300HV0VXCRONER808,Edinburgh Investment Trust PLC,EDIN,GB,FTSE 350,FTSE 250,London Stock Exchange,2000-01-01,True
5230,213800JUA8RKIDDLH380,Edinburgh Worldwide Investment Trust PLC,EWI,GB,FTSE 350,FTSE 250,London Stock Exchange,1998-06-10,True
4640,549300LQIH685LI2ML36,Elementis PLC,ELMTY,GB,FTSE 350,FTSE 250,London Stock Exchange,1964-04-01,True
4917,213800FPF38IBPRFPU87,Empiric Student Property PLC,ESP,GB,FTSE 350,FTSE 250,London Stock Exchange,2014-06-30,True
5068,529900NI5MXQ91GHXR07,Endeavour Mining PLC,EDVMF,GB,FTSE 350,FTSE 100,London Stock Exchange|Toronto Stock Exchange,2021-06-14,True
5342,549300RVMKU0CYUZBB05,Energean PLC,ENOG,GB,FTSE 350,FTSE 250|TA-35,London Stock Exchange,2018-03-16,True
4838,5493007MOZNA03BVNE96,Essentra PLC,ESNT,GB,FTSE 350,FTSE 250,London Stock Exchange,2005-06-06,True
4801,549300XN7RXQWHN18849,European Opportunities Trust,EWI,GB,FTSE 350,FTSE 250,London Stock Exchange,2000-11-20,True
5207,213800N1B1HCQG2W4V90,European Smaller Companies Trust PLC,ESCT,GB,FTSE 350,FTSE 250,London Stock Exchange,2015-10-23,True
4615,213800W6B18ZHTNG7371,F&C Investment Trust PLC,FCIT,GB,FTSE 350,FTSE 100,London Stock Exchange,1952-03-21,True
5326,213800A2TIRNFIQ7WA20,FDM Group (Holdings) PLC,FDM,GB,FTSE 350,FTSE 250,London Stock Exchange,2014-06-20,True
5147,54930076MSJ0ZW67JB75,Fidelity China Special Situations PLC,FCSS,GB,FTSE 350,FTSE 250,London Stock Exchange,2010-04-19,True
